PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
201971,DeJuan Blair,2013-14,3.95,3.97,1.44,0.4,0.219573400250941,0.0114285714285714,0.1085714285714285,0.0342857142857142,0.8457142857142858,2,0.8459769212506892
201942,DeMar DeRozan,2013-14,4.43,3.8,3.33,2.57,0.2828892589508742,0.3421633554083885,0.260485651214128,0.343635025754231,0.0537159676232523,7,0.6641764900151191
202326,DeMarcus Cousins,2013-14,3.88,3.76,2.25,0.89,0.2203844434510505,0.2251521298174442,0.204868154158215,0.101419878296146,0.4685598377281947,5,0.7920033056205009
201960,DeMarre Carroll,2013-14,4.23,3.99,2.12,1.12,0.1853932584269663,0.1180223285486443,0.4992025518341307,0.0765550239234449,0.3062200956937799,5,0.7952201018256541
203471,Dennis Schröder,2013-14,4.91,4.16,4.61,4.35,0.102791014295439,0.5629139072847682,0.2052980132450331,0.2052980132450331,0.0264900662251655,1,0.9578833808621509
965,Derek Fisher,2013-14,4.37,3.69,3.76,3.31,0.1790352504638219,0.0932642487046632,0.5621761658031088,0.3238341968911917,0.0207253886010362,9,0.9654188992454302
101114,Deron Williams,2013-14,4.56,3.8,5.09,4.79,0.1572516025641025,0.30828025477707,0.3273885350318471,0.3248407643312102,0.0394904458598726,9,0.7325699773998035
202324,Derrick Favors,2013-14,4.39,3.93,1.63,0.42,0.1445932539682539,0.0257289879931389,0.1406518010291595,0.0823327615780446,0.7512864493996569,4,0.9995165642486491
202682,Derrick Williams,2013-14,4.34,3.9,2.18,0.98,0.1749781277340332,0.1725,0.225,0.17,0.4325,5,0.9660680756903829
2734,Devin Harris,2013-14,4.55,3.74,5.18,5.19,0.1215744892874937,0.4467213114754098,0.2745901639344262,0.2459016393442623,0.0327868852459016,1,0.5829661282183985
203473,Dewayne Dedmon,2013-14,4.69,4.03,1.44,0.27,0.1366782006920415,0.050632911392405,0.1265822784810126,0.050632911392405,0.7721518987341772,2,0.7178139921601802
203197,Diante Garrett,2013-14,4.66,4.09,4.7,4.78,0.0999146029035012,0.2991452991452991,0.4188034188034188,0.2307692307692307,0.0512820512820512,9,0.9574508431730796
203079,Dion Waiters,2013-14,4.64,3.81,3.77,3.24,0.2880695443645084,0.3204994797086368,0.3048907388137357,0.3361082206035379,0.0385015608740894,7,0.4786080199314822
1717,Dirk Nowitzki,2013-14,4.02,3.59,1.83,0.49,0.2729458917835671,0.0455212922173274,0.5844346549192364,0.303230543318649,0.066813509544787,8,0.8417034133196312
202700,Donatas Motiejunas,2013-14,4.84,4.21,1.36,0.45,0.1389937106918239,0.1040723981900452,0.3393665158371041,0.0180995475113122,0.5384615384615384,3,0.5540462066497386
2748,Dorell Wright,2013-14,4.54,4.02,2.09,1.11,0.2021660649819494,0.1071428571428571,0.7035714285714286,0.1357142857142857,0.0535714285714285,0,0.809618016078409
203117,Doron Lamb,2013-14,4.48,3.96,2.25,1.35,0.2114882506527415,0.1481481481481481,0.6049382716049383,0.2469135802469135,0.0,0,0.6699123805370041
203110,Draymond Green,2013-14,4.47,3.83,1.95,0.9,0.1360406091370558,0.1243781094527363,0.4676616915422885,0.0970149253731343,0.3109452736318407,5,0.8851445127599629
2400,Drew Gooden,2013-14,4.38,3.9,1.78,0.5,0.2257100149476831,0.1059602649006622,0.4768211920529801,0.0596026490066225,0.3576158940397351,4,0.7372948179910469
2730,Dwight Howard,2013-14,4.18,3.58,2.02,0.73,0.1604850213980028,0.034074074074074,0.0207407407407407,0.0,0.9451851851851852,2,0.9573830817547215
2548,Dwyane Wade,2013-14,4.38,3.84,3.74,3.09,0.228244038401982,0.3432835820895522,0.0773405698778833,0.3175033921302578,0.2618724559023066,8,0.9328746770442085
202734,E'Twaun Moore,2013-14,4.59,4.09,3.39,3.18,0.2136886102403343,0.2787286063569682,0.3691931540342298,0.2860635696821516,0.0660146699266503,9,0.6943527822939369
201947,Earl Clark,2013-14,4.8,4.12,1.83,0.92,0.2210724365004703,0.2127659574468085,0.6212765957446809,0.1148936170212766,0.051063829787234,3,0.3544185471962517
202334,Ed Davis,2013-14,4.47,4.17,1.63,0.45,0.2136752136752136,0.0166666666666666,0.1666666666666666,0.0266666666666666,0.79,2,0.5415302672798827
202327,Ekpe Udoh,2013-14,4.21,3.84,1.66,0.46,0.0898366606170598,0.0707070707070707,0.202020202020202,0.1616161616161616,0.5656565656565656,4,0.9962724072542534
202343,Elliot Williams,2013-14,4.51,4.29,2.6,1.67,0.194019471488178,0.3118279569892473,0.3476702508960573,0.1577060931899641,0.1827956989247312,8,0.6066963982162462
1882,Elton Brand,2013-14,4.16,3.76,1.5,0.44,0.1599137931034482,0.0970350404312668,0.4258760107816711,0.059299191374663,0.4177897574123989,4,0.9304465660827999
202683,Enes Freedom,2013-14,4.21,3.94,1.96,0.58,0.2133995037220843,0.0552325581395348,0.2674418604651162,0.0523255813953488,0.625,4,0.9982052587188049
202339,Eric Bledsoe,2013-14,4.38,3.84,5.33,5.08,0.1878471087879777,0.4417391304347826,0.1304347826086956,0.3530434782608695,0.0747826086956521,1,0.798412124803666
201569,Eric Gordon,2013-14,4.6,3.72,3.19,2.56,0.2726928895612708,0.3564493758668516,0.3606102635228849,0.2441054091539528,0.0388349514563106,7,0.8120105811458808
201953,Eric Maynor,2013-14,4.61,4.12,4.6,3.92,0.0872093023255814,0.2266666666666666,0.48,0.2666666666666666,0.0266666666666666,9,0.9893428498881486
101141,Ersan Ilyasova,2013-14,4.41,3.72,1.49,0.47,0.1860134895278665,0.0839694656488549,0.4465648854961832,0.0896946564885496,0.3797709923664122,4,0.8465989670149573
203095,Evan Fournier,2013-14,4.88,4.05,3.11,2.5,0.2371415566681839,0.3166986564299424,0.4395393474088291,0.1727447216890595,0.0710172744721689,7,0.8681079678205116
202323,Evan Turner,2013-14,4.57,3.86,3.18,2.41,0.2279015240328253,0.4063786008230453,0.2160493827160493,0.279835390946502,0.0977366255144032,7,0.9015855572877315
101128,Francisco Garcia,2013-14,4.28,3.97,1.97,1.11,0.2294704528012279,0.1739130434782608,0.6789297658862876,0.0869565217391304,0.060200668896321,0,0.6923727314479433
202390,Gary Neal,2013-14,4.6,3.69,2.83,1.89,0.2801578354002255,0.2575452716297787,0.3319919517102616,0.4084507042253521,0.0020120724346076,7,0.8028329192445048
201588,George Hill,2013-14,4.32,3.9,4.99,4.87,0.1222369166824107,0.2612055641421947,0.3863987635239567,0.2179289026275115,0.1344667697063369,1,0.7522325271924102
101123,Gerald Green,2013-14,4.45,4.01,2.73,1.65,0.3497091144149967,0.1534195933456562,0.4824399260628466,0.310536044362292,0.0536044362292051,0,0.6804602449132967
201945,Gerald Henderson,2013-14,4.86,4.02,2.36,1.2,0.2082620386213639,0.244131455399061,0.2488262910798122,0.3896713615023474,0.1173708920187793,7,0.46682529166901804
2222,Gerald Wallace,2013-14,4.25,3.84,2.38,1.28,0.0929264909847434,0.1990049751243781,0.3283582089552239,0.0149253731343283,0.4577114427860697,5,0.8883646576456219
203507,Giannis Antetokounmpo,2013-14,4.84,4.02,2.27,1.31,0.1168353265869365,0.2493438320209973,0.2624671916010498,0.1233595800524934,0.3648293963254593,5,0.8669055078007997
201175,Glen Davis,2013-14,4.05,3.78,1.77,0.51,0.1921862667719021,0.0780287474332648,0.4537987679671458,0.0882956878850102,0.3798767967145791,4,0.8433286301675522
201609,Goran Dragic,2013-14,4.83,3.94,5.29,5.3,0.1937762825904121,0.4184027777777778,0.1814236111111111,0.3480902777777778,0.0520833333333333,1,0.544284216529464
202330,Gordon Hayward,2013-14,4.68,3.89,3.23,2.55,0.1704068600620324,0.2751605995717345,0.3361884368308351,0.3094218415417559,0.0792291220556745,7,0.7421495816322472
203476,Gorgui Dieng,2013-14,4.2,3.99,1.68,0.37,0.2270703472840605,0.0313725490196078,0.1333333333333333,0.0588235294117647,0.7764705882352941,4,0.8829719656412167
202328,Greg Monroe,2013-14,4.1,3.85,2.08,0.59,0.1919526627218934,0.2786683107274969,0.1060419235511714,0.0221948212083847,0.593094944512947,3,0.8989432811591067
201880,Greg Stiemsma,2013-14,4.56,3.86,1.56,0.26,0.0840821566110398,0.0229007633587786,0.1068702290076335,0.015267175572519,0.8549618320610687,2,0.962781840145236
202349,Greivis Vasquez,2013-14,4.6,3.93,5.35,4.88,0.1533408833522083,0.3087149187592319,0.3988183161004431,0.2614475627769572,0.0310192023633678,9,0.9424530853168671
202970,Gustavo Ayon,2013-14,4.74,3.88,1.37,0.32,0.09375,0.1282051282051282,0.1025641025641025,0.0,0.7692307692307693,4,0.9467130402403058
203084,Harrison Barnes,2013-14,4.83,4.04,2.85,1.85,0.2339011217282924,0.300177619893428,0.3960923623445826,0.1758436944937833,0.127886323268206,7,0.9347456232971935
2045,Hedo Turkoglu,2013-14,4.56,3.96,1.94,0.84,0.1308900523560209,0.08,0.59,0.25,0.08,0,0.7773682617738036
203156,Henry Sims,2013-14,4.47,4.01,1.59,0.35,0.1937689969604863,0.0588235294117647,0.2666666666666666,0.0156862745098039,0.6588235294117647,4,0.9873708153331356
203138,Hollis Thompson,2013-14,4.87,4.18,1.76,0.82,0.2144831398562741,0.1572164948453608,0.5618556701030928,0.0695876288659793,0.211340206185567,3,0.6398486838249253
101133,Ian Mahinmi,2013-14,4.14,3.98,1.36,0.25,0.167859984089101,0.0094786729857819,0.1042654028436018,0.0,0.8862559241706162,2,0.7137764156985444
202697,Iman Shumpert,2013-14,4.38,4.23,2.45,1.69,0.1769983686786297,0.140552995391705,0.4976958525345622,0.2580645161290322,0.1036866359447004,0,0.7508162594297156
203477,Isaiah Canaan,2013-14,4.82,4.19,3.81,3.79,0.1641509433962264,0.2873563218390804,0.5057471264367817,0.1839080459770115,0.0229885057471264,9,0.9506139194157873
202738,Isaiah Thomas,2013-14,4.51,3.69,5.98,6.11,0.1977674108630456,0.3959561920808762,0.1743892165122156,0.3984835720303286,0.0311710193765796,1,0.46835909482899535
202397,Ish Smith,2013-14,4.97,4.36,5.06,5.17,0.0858159181858603,0.6321243523316062,0.0,0.2849740932642487,0.082901554404145,1,0.9618132471207224
